region,city,district,median_ppsqm,count,mean_ppsqm,std_ppsqm,ltype
المنطقة الشرقية,حفر الباطن,العزيزية,757.5757575757576,3,905.6439768605942,256.4616787875866,sale
المنطقة الشرقية,حفر الباطن,الفيحاء,545.0,6,706.6666666666666,455.8691332681636,sale
المنطقة الشرقية,حفر الباطن,الفيصلية,1916.4193867457961,6,2286.6839875476244,1763.6422842164993,sale
المنطقة الشرقية,حفر الباطن,المحمدية,1070.0,10,1549.2333333333333,1233.233129563041,sale
المنطقة الشرقية,حفر الباطن,الوادي,2900.0,9,2688.327226214588,1620.4056846860651,sale
المنطقة الشرقية,حفر الباطن,اليرموك,1407.7380952380952,10,17702.619047619046,42695.717242471525,sale
المنطقة الشرقية,حفر الباطن,غرناطة,448.3913043478261,8,807.7191187727653,688.3975403073472,sale
المنطقة الشرقية,حفر الباطن,قرطبة,1133.3333333333333,7,11698.978599773243,27919.644904187542,sale
المنطقة الشرقية,راس تنورة,الاندلس,3375.0,3,3883.9869281045753,881.5912198655316,sale
المنطقة الشرقية,راس تنورة,الدانة,4333.333333333333,3,3454.700854700854,1771.721274461897,sale
المنطقة الشرقية,راس تنورة,الفيحاء,2004.0080160320642,9,2455.6301499872266,932.4775138993748,sale
منطقة الباحة,الباحة,الشروق,705.5627370916754,6,680.3249586066664,184.7373887368783,sale
منطقة الباحة,الباحة,النزهة,2720.2276707530646,10,4034.5063863327246,4730.5827678363385,sale
منطقة الحدود الشمالية,عرعر,ضاحية الملك فهد,1091.715976331361,5,3997.7068316299083,4659.088253430654,sale
منطقة الحدود الشمالية,عرعر,قرطبة,627.7056277056276,4,632.6028138528138,285.4936028187311,sale
منطقة الرياض,الارطاوية,سلطانة,2402.745995423341,3,2200.91533180778,436.52229333863716,sale
منطقة الرياض,الخرج,الجامعة,950.0,39,4877.286288062923,20355.73440739256,sale
منطقة الرياض,الخرج,الخالدية,2296.7668506042855,36,6148.558428882412,23664.51209867454,sale
منطقة الرياض,الخرج,الزاهر,650.4380053908355,13,1094.4817865451346,800.5877783295391,sale
منطقة الرياض,الخرج,السلام,1909.7222222222222,21,3619.8314614778183,3740.8600167531004,sale
منطقة الرياض,الخرج,العالية,923.6150202976996,24,1158.0310339680298,553.608812814251,sale
منطقة الرياض,الخرج,العدامة,449.87472035794184,25,757.2101177474661,563.5604165444556,sale
منطقة الرياض,الخرج,الفيصلية,1500.122386537481,27,1619.9130537841882,1041.6236611145937,sale
منطقة الرياض,الخرج,القطار,1133.3333333333333,5,1415.2172247227268,1163.9315703871791,sale
منطقة الرياض,الخرج,الناصفة,1699.5348837209303,55,4428.44096303812,19676.786171214906,sale
منطقة الرياض,الخرج,النهضة,1300.0,16,10380.107785522949,35343.671563408956,sale
منطقة الرياض,الخرج,الهدا,1600.0,29,1519.1664235677401,701.1940629588908,sale
منطقة الرياض,الخرج,الورود,2875.0,19,23531.649912212637,50141.16066958315,sale
منطقة الرياض,الخرج,اليرموك,1341.6666666666667,20,6936.96336162182,25837.378379120524,sale
منطقة الرياض,الخرج,اليمامة,1292.7769818799547,4,32324.959919511406,62260.162277019976,sale
منطقة الرياض,الخرج,مشرف,539.6389380530973,72,887.2695056912133,868.8642729673757,sale
منطقة الرياض,الدرعية,الخالدية,10666.666666666666,13,10274.935076472537,4524.107434274281,sale
منطقة الرياض,الدرعية,العاصمة,11897.502903600463,134,12093.127704915916,3791.448392315843,sale
منطقة الرياض,الدرعية,الفيصلية,15000.0,12,16185.428631790912,7192.998287002698,sale
منطقة الرياض,الدرعية,ظهرة العودة شرق,6000.0,8,7000.902744559165,3729.3803525218923,sale
منطقة الرياض,الدرعية,ظهرة العودة غرب,5000.0,46,5040.082126844544,2391.6096150102658,sale
منطقة الرياض,الدلم,الخالدية,759.3030708055473,4,706.8361906845391,224.63721850745281,sale
منطقة الرياض,الدلم,الناصرية,400.0916030534351,3,782.6464283908803,684.4493503403378,sale
منطقة الرياض,الدلم,النهضة,700.8850574712644,19,995.9380118485057,790.9504077562342,sale
منطقة الرياض,الدوادمي,الحرمين,907.2164948453608,6,11331.242840778925,25722.21402241564,sale
منطقة الرياض,الدوادمي,الخالدية,1116.6666666666667,8,1372.206133552379,994.4001293337066,sale
منطقة الرياض,الدوادمي,الريان,1799.0074441687345,6,26301.6138611933,60609.511193964194,sale
منطقة الرياض,الدوادمي,السنبلة,749.5069033530572,5,1431.7450563344,1396.7411031156994,sale
منطقة الرياض,الدوادمي,حطين,1000.0,14,981.6428571428571,456.7108431615066,sale
منطقة الرياض,الرياض,احد,3400.1266223488446,84,15556.494104655747,38354.286904898676,sale
منطقة الرياض,الرياض,اشبيلية,7609.523809523809,152,7916.632044047276,1952.6309778606487,sale
منطقة الرياض,الرياض,الازدهار,8523.002421307505,40,9622.3643293074,3469.851780377344,sale
منطقة الرياض,الرياض,الاندلس,6944.444444444444,95,7143.442732035615,2306.3069826071937,sale
منطقة الرياض,الرياض,البديعة,3750.1985252410664,14,4301.79261925377,2942.1186859285444,sale
منطقة الرياض,الرياض,البرية,2251.30890052356,21,2534.5421339974455,1135.0867895070792,sale
منطقة الرياض,الرياض,البساتين,793.0,3,777.1651006711409,33.67142699933199,sale
منطقة الرياض,الرياض,البيان,5581.395348837209,751,6077.379393594356,6920.355995611432,sale
منطقة الرياض,الرياض,التعاون,11287.878787878788,35,12263.673147604039,3601.272562694466,sale
منطقة الرياض,الرياض,الجرادية,6289.308176100629,19,5947.199306154488,2621.623484079034,sale
منطقة الرياض,الرياض,الجزيرة,7026.023219205037,8,6944.856696592269,2157.205720874272,sale
منطقة الرياض,الرياض,الجنادرية,4437.791084497671,834,8437.436809086601,22454.436777499766,sale
منطقة الرياض,الرياض,الحائر,1125.0,85,1324.8683117959447,1077.0892781353848,sale
منطقة الرياض,الرياض,الحزم,3745.1737451737454,441,9466.86481525751,26283.166774135098,sale
منطقة الرياض,الرياض,الحمراء,8000.542005420054,75,8693.170940590493,3045.620574419771,sale
منطقة الرياض,الرياض,الخالدية,3505.023923444976,13,5126.3591999305845,2677.778560094307,sale
منطقة الرياض,الرياض,الخزامى,17639.257294429706,16,17218.411704681967,6987.26800575094,sale
منطقة الرياض,الرياض,الخليج,6369.426751592357,358,6307.474439158349,1908.8804926105347,sale
منطقة الرياض,الرياض,الخير,2666.0,463,2970.6496782688337,2172.376372064022,sale
منطقة الرياض,الرياض,الدار البيضاء,3466.6666666666665,292,11510.475804979806,29929.63980232251,sale
منطقة الرياض,الرياض,الدريهمية,5150.214592274678,33,4810.30316878391,1354.5287235842638,sale
منطقة الرياض,الرياض,الدفاع,2931.720430107527,6,2949.6233961872113,985.5667332315205,sale
منطقة الرياض,الرياض,الديرة,4002.112676056338,8,7143.318211171002,6546.147453923362,sale
منطقة الرياض,الرياض,الرائد,14795.918367346938,10,16042.536187318847,3784.9654972448056,sale
منطقة الرياض,الرياض,الراية,670.0,23,728.1159790459006,132.9230523510319,sale
منطقة الرياض,الرياض,الربوة,6097.5609756097565,33,6935.190358192871,4672.840960186103,sale
منطقة الرياض,الرياض,الربيع,10229.276895943563,68,10988.662426867582,3843.895476997765,sale
منطقة الرياض,الرياض,الرحمانية,14953.703703703704,50,18382.45280725446,14633.12002518245,sale
منطقة الرياض,الرياض,الرسالة,675.0,16,695.3712831210597,248.83046776911104,sale
منطقة الرياض,الرياض,الرفيعة,10882.35294117647,19,11830.64554435574,3812.738010358016,sale
منطقة الرياض,الرياض,الرمال,6046.804721224378,1574,6823.068024084895,7984.648251581252,sale
منطقة الرياض,الرياض,الروابي,7743.459302325582,50,8509.74256622477,3689.7607374618256,sale
منطقة الرياض,الرياض,الروضة,7607.692307692308,144,6869.328829222031,3638.7001182570784,sale
منطقة الرياض,الرياض,الريان,7247.0,47,8551.411197462305,2807.5771878902533,sale
منطقة الرياض,الرياض,الزاهر,900.0432692307693,86,969.5756058623904,238.51875056844838,sale
منطقة الرياض,الرياض,الزهراء,7182.539682539683,14,8712.582284764921,3819.1819198761214,sale
منطقة الرياض,الرياض,الزهرة,4296.875,124,4699.1542293928305,8566.122407061517,sale
منطقة الرياض,الرياض,السحاب,4380.208333333333,232,12185.382747994847,32634.425866560017,sale
