city,neighborhood,median_ppsqm,count,mean_ppsqm,ltype
جدة,مدائن الفهد,3949.5798319327732,11,25919.44631450743,sale
جدة,مريخ,3233.881725211205,418,16290.503645646635,sale
جدة,مشرفة,3901.098901098901,113,26775.440194581213,sale
جلاجل,الملك فيصل,477.0,7,1259.2280317548173,sale
حائل,اجا,3496.5034965034965,3,3204.0428321678323,sale
حائل,الخزامى,1892.857142857143,36,30567.263238496296,sale
حائل,الرصف,2253.218884120172,37,33900.571329478014,sale
حائل,السويفلة,1404.727095516569,18,8251.100218601685,sale
حائل,العزيزية,1121.8905472636816,6,2724.1679719917015,sale
حائل,اللقيطة,1875.0,7,13113.676986111732,sale
حائل,المدائن,2068.9655172413795,32,30571.54592569854,sale
حائل,المصيف,2065.3400653400654,8,33292.18410857402,sale
حائل,المطار,2097.902097902098,13,2531.7958479699373,sale
حائل,المنتزه الشرقي,51613.19612590799,6,56076.53089484381,sale
حائل,النقرة,3213.5326221781197,32,26461.457250620293,sale
حائل,الوادي,1381.9095477386934,37,15720.975598624476,sale
حائل,الوسيطاء,1425.5815347721823,6,2413.0455989120146,sale
حائل,حدري البلاد,1803.2150776053215,26,29141.279515689588,sale
حائل,صبابة,2445.7831325301204,8,18054.834996268022,sale
حائل,ضاحية الملك فهد,605.0,9,13048.100250626567,sale
حائل,قفار,650.0,36,7361.2907369894365,sale
حريملاء,السد,1200.0,40,1455.8898356141208,sale
حريملاء,النخيل,950.0,15,971.8383387576247,sale
حريملاء,النهضة,1539.0,18,1570.6008259484786,sale
حفر الباطن,التلال,849.4382022471909,8,826.6095505617977,sale
حفر الباطن,الخالدية,2373.887240356083,5,2034.1774480712168,sale
حفر الباطن,الريان,2223.863636363636,14,17461.58008658009,sale
حفر الباطن,السليمانية,1578.9473684210527,9,19052.866110768024,sale
حفر الباطن,الشفاء,508.33333333333337,4,541.8018541157294,sale
حفر الباطن,العزيزية,757.5757575757576,3,905.6439768605942,sale
حفر الباطن,الفيحاء,550.0,5,768.0,sale
حفر الباطن,الفيصلية,1916.4193867457961,6,2286.6839875476244,sale
حفر الباطن,المحمدية,1070.0,10,1549.2333333333333,sale
حفر الباطن,الوادي,2900.0,9,2688.327226214588,sale
حفر الباطن,اليرموك,2562.5,10,33920.119047619046,sale
حفر الباطن,غرناطة,528.6190476190476,6,954.4240855762595,sale
حفر الباطن,قرطبة,1133.3333333333333,7,11698.978599773243,sale
حوطة بني تميم,السلام,2235.0,7,2312.903660054669,sale
حوطة سدير,الربعة,588.2423529411765,7,722.0472869446219,sale
حوطة سدير,المروج,1515.1515151515152,3,1500.2886002886005,sale
حوطة سدير,بدر,1667.0,9,1661.1219016245986,sale
خميس مشيط,التعاون,2651.6987839857793,78,36200.96182134202,sale
خميس مشيط,الجامعيين,3161.2903225806454,27,54060.00411725255,sale
خميس مشيط,الجبل,3006.912442396313,46,47071.65628351452,sale
خميس مشيط,الجزيرة,1031.7460317460318,23,22665.80202871628,sale
خميس مشيط,الحرابى,2363.6363636363635,9,19497.91350706859,sale
خميس مشيط,الدوحة,1334.5521023765996,7,11295.84302402031,sale
خميس مشيط,الراقي,83333.33333333333,54,56172.676003153865,sale
خميس مشيط,الربيع,2682.578539371685,56,19888.824854709917,sale
خميس مشيط,الرصراص 1,3500.0,9,29893.93719232429,sale
خميس مشيط,الرصراص 2,2575.757575757576,7,18171.2348948066,sale
خميس مشيط,الرونه,3000.0,5,12404.70786376398,sale
خميس مشيط,الشرفية,3224.6103569632983,12,33702.98371985637,sale
خميس مشيط,الشفاء,2708.3333333333335,31,27689.988972843315,sale
خميس مشيط,الصقور,3750.0,6,30819.44444444445,sale
خميس مشيط,الصناعية,2319.148936170213,51,27423.654669460346,sale
خميس مشيط,الظرفة,2782.9409334985544,150,35527.64774546538,sale
خميس مشيط,القافلة,2370.3703703703704,49,39099.5900986227,sale
خميس مشيط,المصيف,2879.581151832461,45,31618.223888376455,sale
خميس مشيط,المعمورة,2000.0,3,2941.7729068813837,sale
خميس مشيط,النخيل,2250.0,9,44433.0,sale
خميس مشيط,النسيم,2214.7651006711408,7,23460.615858571946,sale
خميس مشيط,الهرير الغربى,3189.782270479852,8,47476.41498034427,sale
خميس مشيط,الواحة,2935.002195871761,20,33347.81999505645,sale
خميس مشيط,الوسام,3064.020028612303,42,42392.13394554271,sale
خميس مشيط,الوفاء,85714.28571428571,43,63741.15363699786,sale
خميس مشيط,اليرموك,2955.6650246305417,192,43732.30863185276,sale
خميس مشيط,تارة,83333.33333333333,10,71649.96533489772,sale
خميس مشيط,ذلالة,4109.58904109589,10,52595.2647359021,sale
خميس مشيط,ذهبان الشرقى,3000.0,15,37435.25591132335,sale
خميس مشيط,ذهبان الغربى,2846.9750889679717,27,30585.867506250135,sale
خميس مشيط,شباعة,3250.0,13,33702.17995947157,sale
خميس مشيط,شمال التضامن,2808.139534883721,56,45265.27789721083,sale
خميس مشيط,نشوان,2117.160330974937,20,27502.3393380931,sale
رابغ,المرجانية,992.9711034251925,51,9657.801779628895,sale
راس تنورة,الاندلس,3375.0,3,3883.9869281045753,sale
راس تنورة,الدانة,4333.333333333333,3,3454.700854700854,sale
راس تنورة,الفيحاء,2004.0080160320642,9,2455.6301499872266,sale
رياض الخبراء,الحزم,1045.4545454545455,8,1227.197904421895,sale
رياض الخبراء,القدس,869.5652173913044,15,6579.375895464995,sale
رياض الخبراء,النزهة,1272.7272727272727,35,6976.853482685459,sale
سراة عبيدة,الروضة,90000.0,11,72256.44989339019,sale
شقراء,الرحبة,500.0,4,684.9378306878307,sale
شقراء,الروضة,788.2882882882883,17,6067.398953448568,sale
ضرما,البديع الشرقي,1075.51775147929,22,1235.1884311204253,sale
ضرما,البديع الغربي,1916.6666666666665,4,2160.0930412791645,sale
ضرما,العزيزية,1190.4761904761904,3,1010.3174603174602,sale
ضرما,اليمامة,1250.0,14,1298.926760223457,sale
طريب,الفاخرية,982.1428571428571,6,982.1428571428572,sale
طريب,النزهة,1833.3333333333333,3,1475.3333333333333,sale
عرعر,ضاحية الملك فهد,9090.90909090909,3,6424.511386049847,sale
عقلة الصقور,الملك فهد,659.7031335898846,5,1854.438466350685,sale
عنيزة,الاشرفية,1848.9405331510595,18,1804.5464061764812,sale
عنيزة,الحاجب,1037.344398340249,9,1049.652544940487,sale
عنيزة,الحمراء,1464.84375,14,1516.0438165417202,sale
عنيزة,الخزامى,519.8776758409786,31,1051.5455029234338,sale
عنيزة,الدوحة,1662.7078384798099,11,2634.9800670587215,sale
عنيزة,الرمال,1618.0897646414887,22,7874.863013707432,sale
عنيزة,الرياضى,1023.8888888888889,8,1047.152492850113,sale
عنيزة,الريان,2148.185148185148,48,6029.567167063215,sale
عنيزة,السلام,1400.0,55,4633.056856082511,sale
عنيزة,السليمانية,1400.0,23,6989.175233114717,sale
عنيزة,الشفاء,1861.3414634146343,34,1892.78586182947,sale
عنيزة,الصالحية,761.0619469026549,9,807.2981159644587,sale
عنيزة,العليا,1270.1832460732985,54,3597.770116567806,sale
عنيزة,العونية,643.4316353887399,37,8476.21997905514,sale
عنيزة,الفاخرية,2139.4111825828795,72,7639.903905706254,sale
عنيزة,الفيحاء,587.7294853963839,4,912.2308044533382,sale
عنيزة,المروج,1798.5611510791366,51,5494.557938862521,sale
عنيزة,المصيف,900.0,15,8418.970880071745,sale
عنيزة,الملك خالد,982.3182711198428,26,10412.80131131613,sale
عنيزة,الملك فهد,2000.0,82,10428.316983337227,sale
عنيزة,المنار,2757.3529411764707,51,6072.184399902264,sale
عنيزة,الواحة,904.7619047619048,8,8995.112076362077,sale
عنيزة,الوفاء,2166.6666666666665,33,5453.047873410662,sale
